Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_PHYSICS.json -i ../LumiJSON/Cert_271036-284044_13TeV_23Sep2016ReReco_Collisions16_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 274387:4985 | 06/03/16 19:10:09 | 352  | 352  | 61.757160920   | 58.230925470  |
| 274388:4985 | 06/03/16 21:32:38 | 1820 | 1820 | 263.657760054  | 254.143127714 |
| 274420:4988 | 06/04/16 20:17:21 | 175  | 175  | 29.511407658   | 28.085763450  |
| 274421:4988 | 06/04/16 21:28:04 | 342  | 342  | 56.165832417   | 53.901679020  |
| 274422:4988 | 06/04/16 23:46:51 | 2207 | 2207 | 285.808233349  | 277.137366440 |
| 274440:4990 | 06/05/16 19:32:38 | 402  | 402  | 66.257852304   | 63.546059067  |
| 274441:4990 | 06/05/16 22:13:06 | 431  | 431  | 66.088986921   | 63.938476499  |
| 274442:4990 | 06/06/16 01:05:09 | 753  | 753  | 102.440464385  | 99.071429357  |
| 274443:4990 | 06/06/16 06:14:36 | 50   | 50   | 6.329532349    | 6.157281317   |
| 274954:5005 | 06/11/16 09:40:51 | 20   | 20   | 1.158411117    | 0.964180375   |
| 274955:5005 | 06/11/16 09:52:07 | 91   | 91   | 5.000987811    | 4.770955427   |
| 274968:5013 | 06/11/16 22:51:22 | 1192 | 1192 | 202.639807252  | 193.775922764 |
| 274969:5013 | 06/12/16 06:41:54 | 1003 | 1003 | 135.797327799  | 126.581145633 |
| 274970:5013 | 06/12/16 13:12:54 | 47   | 47   | 5.693241220    | 4.298671971   |
| 274971:5013 | 06/12/16 13:33:30 | 905  | 905  | 100.725654529  | 97.616535624  |
| 274998:5017 | 06/13/16 04:19:54 | 718  | 718  | 119.383814773  | 113.023737253 |
| 274999:5017 | 06/13/16 09:04:45 | 1241 | 1241 | 168.573292565  | 162.759022625 |
| 275000:5017 | 06/13/16 17:15:35 | 136  | 136  | 16.331565073   | 15.808373816  |
| 275001:5017 | 06/13/16 18:12:42 | 2061 | 2061 | 203.285063590  | 197.994303639 |
| 275059:5020 | 06/14/16 16:49:52 | 60   | 60   | 11.575610640   | 10.701513003  |
| 275064:5020 | 06/14/16 17:29:51 | 30   | 30   | 6.170282273    | 5.877173781   |
| 275066:5020 | 06/14/16 17:45:35 | 96   | 96   | 19.255843966   | 18.301980899  |
| 275067:5020 | 06/14/16 18:28:40 | 392  | 392  | 73.740090867   | 71.046000093  |
| 275068:5020 | 06/14/16 21:06:59 | 915  | 915  | 148.129203713  | 142.426185439 |
| 275073:5020 | 06/15/16 03:33:57 | 517  | 517  | 70.659634480   | 68.166579915  |
| 275074:5020 | 06/15/16 06:58:09 | 646  | 646  | 78.401733932   | 75.957762666  |
| 275124:5021 | 06/15/16 17:50:26 | 325  | 325  | 58.742279595   | 56.104012183  |
| 275125:5021 | 06/15/16 20:00:21 | 989  | 989  | 155.960933008  | 149.289554911 |
| 275282:5024 | 06/17/16 00:06:15 | 90   | 90   | 15.571031997   | 14.753424127  |
| 275283:5024 | 06/17/16 00:43:11 | 132  | 132  | 23.329904913   | 22.215007945  |
| 275284:5024 | 06/17/16 01:36:53 | 108  | 108  | 18.605823856   | 17.862642397  |
| 275285:5024 | 06/17/16 02:21:46 | 1    | 1    | 0.169582716    | 0.125163123   |
| 275286:5024 | 06/17/16 02:27:41 | 87   | 87   | 14.571102799   | 13.946769227  |
| 275289:5024 | 06/17/16 03:12:53 | 19   | 19   | 3.118464885    | 1.072843813   |
| 275290:5024 | 06/17/16 03:22:02 | 143  | 143  | 23.013610604   | 7.953067785   |
| 275291:5024 | 06/17/16 04:28:35 | 347  | 347  | 52.931321550   | 51.239142967  |
| 275292:5024 | 06/17/16 06:46:47 | 121  | 121  | 16.297461062   | 15.533065280  |
| 275293:5024 | 06/17/16 07:37:27 | 200  | 200  | 25.785580402   | 24.911715335  |
| 275309:5026 | 06/17/16 13:48:15 | 563  | 563  | 85.067986609   | 81.968831500  |
| 275310:5026 | 06/17/16 17:32:53 | 1929 | 1929 | 228.952183179  | 221.971321142 |
| 275311:5026 | 06/18/16 06:07:07 | 1253 | 1253 | 109.758788528  | 107.143490438 |
| 275319:5027 | 06/18/16 18:56:15 | 142  | 142  | 25.719252531   | 24.399048697  |
| 275337:5027 | 06/18/16 21:26:04 | 427  | 427  | 71.143873016   | 68.318280019  |
| 275338:5027 | 06/19/16 00:15:37 | 520  | 520  | 77.545788590   | 75.039556337  |
| 275344:5028 | 06/19/16 08:18:25 | 281  | 281  | 52.274032724   | 50.206595431  |
| 275345:5028 | 06/19/16 10:12:11 | 353  | 353  | 62.030894758   | 59.317080932  |
| 275370:5029 | 06/19/16 16:19:29 | 285  | 285  | 54.224574814   | 51.557454432  |
| 275371:5029 | 06/19/16 18:16:49 | 564  | 564  | 98.268244346   | 94.041599971  |
