Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_PHYSICS.json -i ../LumiJSON/Cert_13TeV_16Dec2015ReReco_Collisions15_25ns_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 258177:4452 | 10/03/15 20:21:28 | 2120 | 2120 | 123.597354375  | 120.500244392 |
| 258211:4455 | 10/04/15 16:54:29 | 87   | 87   | 6.994576591    | 6.720211888   |
| 258213:4455 | 10/04/15 17:32:20 | 165  | 165  | 12.442648376   | 12.124115489  |
| 258214:4455 | 10/04/15 18:38:59 | 217  | 217  | 16.357417830   | 15.948113700  |
| 258215:4455 | 10/04/15 20:07:49 | 6    | 6    | 0.443100725    | 0.432222044   |
| 258287:4462 | 10/05/15 15:44:45 | 180  | 180  | 14.464741389   | 13.900215846  |
| 258403:4466 | 10/06/15 14:10:07 | 251  | 251  | 16.487133488   | 16.124241029  |
| 258425:4467 | 10/06/15 18:50:09 | 134  | 134  | 11.144751615   | 10.663951918  |
| 258426:4467 | 10/06/15 20:00:12 | 10   | 10   | 0.809312765    | 0.787693397   |
| 258427:4467 | 10/06/15 20:06:18 | 107  | 107  | 8.580346006    | 8.276889372   |
| 258428:4467 | 10/06/15 20:54:17 | 324  | 324  | 24.984523622   | 24.353477230  |
| 258432:4467 | 10/06/15 23:04:32 | 4    | 4    | 0.298131442    | 0.290928346   |
| 258434:4467 | 10/06/15 23:11:39 | 453  | 453  | 32.578585310   | 31.796302655  |
| 258440:4467 | 10/07/15 02:10:32 | 731  | 731  | 47.642217488   | 46.415479853  |
| 258443:4467 | 10/07/15 07:04:45 | 291  | 291  | 17.690141313   | 17.257272116  |
| 258444:4467 | 10/07/15 09:00:44 | 130  | 130  | 7.665367516    | 7.504735342   |
| 258445:4467 | 10/07/15 09:52:47 | 302  | 302  | 17.285440987   | 16.927333525  |
| 258446:4467 | 10/07/15 11:52:39 | 142  | 142  | 7.857932035    | 7.700979173   |
| 258448:4467 | 10/07/15 12:53:07 | 730  | 730  | 37.517762983   | 36.710513530  |
| 258655:4476 | 10/09/15 11:20:05 | 9    | 9    | 0.778970316    | 0.401651871   |
| 258656:4476 | 10/09/15 11:24:46 | 334  | 334  | 27.722081320   | 26.845279221  |
| 258694:4477 | 10/09/15 19:55:27 | 177  | 177  | 17.008348449   | 16.181131341  |
| 258702:4479 | 10/10/15 07:31:21 | 351  | 351  | 32.053995866   | 30.771949797  |
| 258703:4479 | 10/10/15 09:48:30 | 475  | 475  | 41.032252794   | 39.861630718  |
| 258705:4479 | 10/10/15 13:01:34 | 100  | 100  | 8.230897971    | 8.002106652   |
| 258706:4479 | 10/10/15 13:44:18 | 733  | 733  | 56.088070535   | 54.634943763  |
| 258712:4479 | 10/10/15 18:36:26 | 524  | 524  | 36.912840497   | 35.952255608  |
| 258713:4479 | 10/10/15 22:03:19 | 161  | 161  | 10.839026860   | 10.586118904  |
| 258714:4479 | 10/10/15 23:06:33 | 67   | 67   | 4.451814502    | 4.346894355   |
| 258741:4485 | 10/11/15 15:12:30 | 51   | 51   | 5.170714777    | 4.771661660   |
| 258742:4485 | 10/11/15 15:37:24 | 692  | 692  | 65.773780816   | 63.672851062  |
| 258745:4485 | 10/11/15 20:12:22 | 260  | 260  | 22.892848490   | 22.222976768  |
| 258749:4485 | 10/11/15 22:08:51 | 604  | 604  | 49.149585573   | 47.983125018  |
| 258750:4485 | 10/12/15 02:08:14 | 197  | 197  | 15.262847888   | 14.913042986  |
| 259626:4518 | 10/20/15 04:22:04 | 353  | 353  | 11.613890816   | 11.407510104  |
| 259637:4519 | 10/20/15 11:55:23 | 221  | 221  | 15.961338933   | 15.573348316  |
| 259681:4522 | 10/21/15 02:10:07 | 35   | 35   | 3.430494332    | 1.954256983   |
| 259682:4522 | 10/21/15 02:45:58 | 4    | 4    | 0.382954664    | 0.236625470   |
| 259683:4522 | 10/21/15 02:50:56 | 90   | 90   | 8.059749880    | 7.707859090   |
| 259685:4522 | 10/21/15 03:31:12 | 625  | 625  | 56.224436250   | 54.556865758  |
| 259686:4522 | 10/21/15 07:40:55 | 336  | 336  | 27.434655036   | 26.658858071  |
| 259721:4525 | 10/21/15 21:49:33 | 336  | 336  | 12.516242057   | 12.158151429  |
| 259809:4528 | 10/23/15 01:19:55 | 170  | 170  | 14.562963623   | 13.996537461  |
| 259810:4528 | 10/23/15 02:27:57 | 116  | 116  | 10.074752275   | 9.813178831   |
| 259811:4528 | 10/23/15 03:14:40 | 91   | 91   | 7.758948952    | 7.440933556   |
| 259813:4528 | 10/23/15 03:55:28 | 10   | 10   | 0.843149426    | 0.726760926   |
| 259817:4528 | 10/23/15 04:12:46 | 5    | 5    | 0.419125643    | 0.353181765   |
| 259818:4528 | 10/23/15 04:16:25 | 160  | 160  | 13.240502079   | 12.868513319  |
| 259820:4528 | 10/23/15 05:28:06 | 158  | 158  | 12.685101477   | 12.233473458  |
| 259821:4528 | 10/23/15 06:36:07 | 210  | 210  | 16.254360624   | 15.759725142  |
| 259822:4528 | 10/23/15 08:06:27 | 463  | 463  | 32.741565347   | 32.015003440  |
| 259861:4530 | 10/23/15 22:04:22 | 154  | 154  | 13.971316560   | 13.550447393  |
| 259862:4530 | 10/23/15 23:06:58 | 532  | 532  | 46.212460656   | 44.836150651  |
| 259884:4532 | 10/24/15 16:31:58 | 80   | 80   | 6.957390009    | 6.556087630   |
| 259890:4532 | 10/24/15 17:20:01 | 109  | 109  | 10.018378107   | 9.626072378   |
| 259891:4532 | 10/24/15 18:06:49 | 108  | 108  | 9.739913482    | 9.353491423   |
| 260373:4555 | 10/30/15 10:18:37 | 362  | 362  | 10.921966073   | 10.695918592  |
| 260424:4557 | 10/30/15 18:40:06 | 670  | 670  | 67.652887813   | 65.360182828  |
| 260425:4557 | 10/30/15 23:06:36 | 287  | 287  | 26.955911748   | 26.131820071  |
| 260426:4557 | 10/31/15 01:02:23 | 504  | 504  | 44.376699352   | 43.221197701  |
| 260427:4557 | 10/31/15 04:25:46 | 285  | 285  | 23.131737311   | 22.475322106  |
| 260431:4557 | 10/31/15 06:31:22 | 447  | 447  | 35.159170591   | 34.213324332  |
| 260528:4560 | 11/01/15 04:10:17 | 25   | 25   | 2.534272634    | 2.469598665   |
| 260532:4560 | 11/01/15 04:25:51 | 746  | 746  | 69.706108459   | 67.719845349  |
| 260533:4560 | 11/01/15 09:24:23 | 14   | 14   | 1.238032839    | 1.164391629   |
| 260534:4560 | 11/01/15 09:34:18 | 375  | 375  | 32.153475445   | 31.210760692  |
| 260536:4560 | 11/01/15 12:11:50 | 185  | 185  | 15.130496473   | 14.735888600  |
| 260538:4560 | 11/01/15 13:29:58 | 284  | 284  | 22.409805939   | 21.787198160  |
| 260541:4560 | 11/01/15 15:25:55 | 24   | 24   | 1.853172874    | 1.782376252   |
| 260575:4562 | 11/01/15 21:37:56 | 20   | 20   | 1.871640287    | 1.676900484   |
| 260576:4562 | 11/01/15 21:49:30 | 464  | 464  | 53.391878489   | 50.201133741  |
| 260577:4562 | 11/02/15 00:53:22 | 76   | 76   | 8.368905645    | 8.036979070   |
| 260593:4565 | 11/02/15 08:42:24 | 337  | 337  | 37.040628859   | 34.960099390  |
| 260627:4569 | 11/02/15 19:06:16 | 1749 | 1749 | 182.293690903  | 175.139618578 |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/pb) | totrecorded(/pb) |
+-------+------+-------+-------+-------------------+------------------+
| 50    | 134  | 43661 | 43661 | 2854.189116365    | 2759.016839787   |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
