Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_PHYSICS.json -i ../LumiJSON/Cert_294927-306462_13TeV_EOY2017ReReco_Collisions17_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 297666:5882 | 06/29/17 02:42:25 | 121  | 121  | 24.387712337   | 22.957860355  |
| 297670:5883 | 06/29/17 06:26:33 | 14   | 7    | 4.686678582    | 2.132356497   |
| 297674:5883 | 06/29/17 07:15:59 | 186  | 181  | 57.563140622   | 52.895058701  |
| 297675:5883 | 06/29/17 08:36:58 | 469  | 465  | 127.699851887  | 121.856211372 |
| 297678:5883 | 06/29/17 11:50:57 | 1    | 1    | 0.245833004    | 0.000071292   |
| 297722:5887 | 06/29/17 20:30:17 | 325  | 317  | 105.484257748  | 93.954737886  |
| 297723:5887 | 06/29/17 23:02:24 | 185  | 185  | 53.721529285   | 51.758050591  |
| 298996:5942 | 07/14/17 07:36:18 | 184  | 184  | 28.674296666   | 22.845749936  |
| 298997:5942 | 07/14/17 08:52:13 | 38   | 38   | 5.792101782    | 3.924806927   |
| 299000:5942 | 07/14/17 09:20:59 | 74   | 74   | 10.062948829   | 8.038139201   |
| 299042:5946 | 07/14/17 20:11:50 | 23   | 23   | 4.137075568    | 2.019627464   |
| 299061:5950 | 07/15/17 01:00:37 | 318  | 311  | 79.698198135   | 64.855291774  |
| 299062:5950 | 07/15/17 03:04:08 | 303  | 296  | 69.513902478   | 58.905888920  |
| 299064:5950 | 07/15/17 05:04:34 | 79   | 78   | 16.999333738   | 15.542907950  |
| 299065:5950 | 07/15/17 05:44:49 | 340  | 333  | 67.076217662   | 59.191072482  |
| 299067:5950 | 07/15/17 08:12:54 | 459  | 459  | 76.024723192   | 68.806839645  |
| 299096:5952 | 07/15/17 15:27:14 | 96   | 96   | 26.625680109   | 24.066610190  |
| 299149:5954 | 07/16/17 01:40:41 | 442  | 442  | 120.827012118  | 108.248934644 |
| 299178:5958 | 07/16/17 12:24:55 | 74   | 70   | 19.781371416   | 15.790997636  |
| 299180:5958 | 07/16/17 12:57:51 | 94   | 68   | 25.881680829   | 15.575464670  |
| 299184:5958 | 07/16/17 13:42:24 | 561  | 555  | 136.315474720  | 123.264916192 |
| 299185:5958 | 07/16/17 17:26:14 | 120  | 120  | 25.655519440   | 23.452406331  |
| 299327:5960 | 07/18/17 07:53:09 | 72   | 69   | 17.371543529   | 15.178467257  |
| 299329:5960 | 07/18/17 08:25:06 | 172  | 172  | 39.728373681   | 37.486979875  |
| 299368:5962 | 07/18/17 16:09:23 | 139  | 131  | 42.742214961   | 32.735167288  |
| 299369:5962 | 07/18/17 17:05:01 | 303  | 302  | 88.266711186   | 78.459651311  |
| 299370:5962 | 07/18/17 19:39:20 | 666  | 666  | 152.316908316  | 142.303604268 |
| 299380:5963 | 07/19/17 02:35:27 | 194  | 191  | 60.618788915   | 54.165295475  |
| 299381:5963 | 07/19/17 04:00:43 | 45   | 45   | 13.446840034   | 11.928538254  |
| 299394:5965 | 07/19/17 07:30:38 | 29   | 22   | 8.279563186    | 5.344902341   |
| 299395:5965 | 07/19/17 07:42:23 | 187  | 182  | 58.022323882   | 39.129214616  |
| 299396:5965 | 07/19/17 08:55:05 | 81   | 81   | 24.115943841   | 17.198505236  |
| 299420:5966 | 07/19/17 12:04:00 | 49   | 49   | 15.672516705   | 13.229830454  |
| 299443:5971 | 07/19/17 23:53:16 | 122  | 122  | 42.279476619   | 35.008283847  |
| 299450:5974 | 07/20/17 04:37:03 | 50   | 50   | 14.236736112   | 12.395402735  |
| 299477:5976 | 07/20/17 12:44:20 | 10   | 10   | 3.260939239    | 2.023473041   |
| 299478:5976 | 07/20/17 13:06:43 | 175  | 172  | 51.194931364   | 45.187916802  |
| 299479:5976 | 07/20/17 14:18:01 | 123  | 117  | 35.501762086   | 29.876998977  |
| 299480:5976 | 07/20/17 15:07:52 | 715  | 711  | 179.507026959  | 165.544310085 |
| 299481:5976 | 07/20/17 19:55:18 | 1225 | 1225 | 205.642387125  | 193.935857793 |
| 299592:5979 | 07/21/17 17:04:52 | 104  | 100  | 34.030772765   | 25.724642895  |
| 299593:5979 | 07/21/17 17:47:13 | 895  | 891  | 220.721324619  | 203.739438211 |
| 299594:5979 | 07/21/17 23:38:54 | 317  | 309  | 66.340538506   | 60.686211115  |
| 299595:5979 | 07/22/17 01:48:02 | 135  | 135  | 25.908973297   | 25.010501667  |
| 299597:5979 | 07/22/17 02:46:03 | 538  | 538  | 89.386115341   | 85.546364447  |
| 299649:5984 | 07/24/17 01:54:27 | 295  | 295  | 102.369790774  | 89.054033577  |
| 300087:6019 | 07/29/17 06:23:31 | 204  | 197  | 13.850574713   | 13.080516478  |
| 300105:6020 | 07/29/17 12:14:52 | 21   | 21   | 5.834990028    | 1.261250592   |
| 300106:6020 | 07/29/17 12:26:04 | 74   | 74   | 24.514894356   | 19.537400498  |
| 300107:6020 | 07/29/17 12:58:01 | 47   | 47   | 15.202807073   | 13.679403814  |
